Gender	Singular	Plural	Sentence	Definition	
MAS	Abend	Abende		the evening	FALSE
MAS	Abflug	Abflüge	Der Abflug ist um 11.20 Uhr.	the (flight) departure	FALSE
FEM	Ansage	Ansagen	Hören Sie auf die Ansagen.	the announcement	FALSE
MAS	Anschluss	Anschlüsse	In Mannheim haben Sie Anschluss nach Saarbrücken.	the connection	FALSE
FEM	Antwort	Antworten	Er gibt leider keine Antwort.	the answer	FALSE
FEM	Anzeige	Anzeigen	Ich habe Ihre Anzeige in der Zeitung gelesen.	the advert	FALSE
NEU	Apartment	Apartments	Wir haben ein Apartment gemietet.	the apartment	FALSE
MAS	Apfel	Äpfel	Ein Pfund Äpfel bitte.	the apple	FALSE
MAS	Appetit	Appetite	Guten Appetit!	the appetite	FALSE
MAS	April	Aprile		the April	FALSE
FEM	Arbeit	Arbeiten	Mein Bruder sucht Arbeit.	the work	FALSE
MAS	Arbeitsplatz	Arbeitsplätze	An meinem Arbeitsplatz fehlt ein Drucker.	the workplace	FALSE
MAS	Arm	Arme	Mein Arm tut weh.	the arm	FALSE
MAS	Arzt	Ärzte	Morgen habe ich einen Termin bei meiner Ärztin.	the doctor	FALSE
FEM	Aufgabe	Aufgaben	Das ist eine schwere Aufgabe.	the task	FALSE
MAS	Aufzug	Aufzüge	In diesem Haus gibt es keinen Aufzug.	the lift	FALSE
NEU	Auge	Augen	Er hat blaue Augen.	the eye	FALSE
MAS	August	Auguste		the August	FALSE
MAS	Ausflug	Ausflüge	Morgen machen wir einen Ausflug nach Heidelberg.	the excursion	FALSE
MAS	Ausgang	Ausgänge	Wo ist der Ausgang?	the exit	FALSE
FEM	Auskunft	Auskünfte	Können Sie mir eine Auskunft geben?	the information/details	FALSE
NEU	Ausland		Fahren Sie ins Ausland?	the country that is abroad/overseas	FALSE
MAS	Ausländer	Ausländer	Sind Sie Ausländerin?	the foreigner	TRUE
FEM	Aussage	Aussagen	Ist die Aussage richtig oder falsch?	the statement	FALSE
MAS	Ausweis	Ausweise	Hier ist mein Ausweis.	the identity card	FALSE
NEU	Auto	Autos	Er kommt mit dem Auto.	the car	FALSE
FEM	Autobahn	Autobahnen	Wo geht‘s hier bitte zur Autobahn?	the motorway	FALSE
MAS	Automat	Automaten	Die Fahrkarten gibt es nur am Automaten.	the machine	FALSE
NEU	Baby	Babys	Mein Kind ist noch ein Baby.	the baby	FALSE
FEM	Bäckerei	Bäckereien	Ich geh mal schnell zur Bäckerei.	the bakery	FALSE
NEU	Bad	Bäder	Wir haben kein großes Bad.	the bathroom	FALSE
FEM	Bahn	Bahnen	Wir fahren lieber mit der Bahn.	the train	FALSE
MAS	Bahnhof	Bahnhöfe	Komme ich hier zum Bahnhof?	the train station	FALSE
MAS	Bahnsteig	Bahnsteige	Auf welchem Bahnsteig fährt der Zug?	the platform	FALSE
MAS	Balkon	Balkone	Die Wohnung hat auch einen kleinen Balkon.	the balcony	FALSE
FEM	Banane	Bananen	Drei Bananen, bitte!	the banana	FALSE
FEM	Bank	Banken	Die Bank schließt schon um vier Uhr.	the bank	FALSE
MAS	Bauch	Bäuche	Seit gestern tut mir der Bauch weh.	the stomach	FALSE
MAS	Baum	Bäume	Vorsicht, fahr nicht an den Baum!	the tree	FALSE
MAS	Beamte	Beamten	Fragen Sie die Beamtin an Schalter acht!	the official	FALSE
NEU	Bein	Beine	Mein rechtes Bein tut weh.	the leg	FALSE
NEU	Beispiel	Beispiele	Kannst du mir ein Beispiel sagen?	the example	FALSE
MAS	Beruf	Berufe	Was sind Sie von Beruf?	the profession	FALSE
NEU	Bett	Betten	Wir brauchen noch ein Kinderbett.	the bed	FALSE
NEU	Bier	Biere	Noch ein Bier bitte.	the beer	FALSE
NEU	Bild	Bilder	Hast du ein Bild von deinem Sohn?	the picture	FALSE
FEM	Birne	Birnen	Ein Kilo Birnen, bitte!	the pear	FALSE
FEM	Bitte	Bitten	Ich habe noch eine Bitte.	the request	FALSE
MAS	Bleistift	Bleistifte	Hast du einen Bleistift?	the pencil	FALSE
