Inf	Partizip_II	Definition	Perfekt Hilfsverb	Prä 1st Sin	Prä 2nd Sin	Prä 3rd Sin	Prä 1st Plu	Prä 2nd Plu	Prä 3rd Plu
sein	gewesen	to be	sein						
haben	gehabt	to have	haben						
werden	geworden	to become/ to get	sein						
gehen	gegangen	to go	sein						
kommen	gekommen	to come	sein						
reisen	gereist	to travel	sein						
fliegen	geflogen	to fly	sein						
wohnen	gewohnt	to reside	haben						
heißen	geheißt	to be called, to mean	haben						
kaufen	gekauft	to buy	haben						
trinken	getrunken	to drink	haben						
arbeiten	gearbeitet	to work	haben						
machen	gemacht	to make, to do	haben						
fragen	gefragt	to ask	haben						
antworten	geantwortet	to answer	haben						
hören	gehört	to hear	haben						
sagen	gesagt	to say	haben						
denken	gedacht	to think	haben						
verstehen	verstanden	to understand	haben						
suchen	gesucht	to seek	haben						
finden	gefunden	to find	haben						
bleiben	geblieben	to stay	sein						
bringen	gebracht	to bring, to take	haben						
bedeuten	bedeutet	to mean	haben						
besuchen	besucht	to visit	haben						
schmecken	geschmeckt	to taste	haben						
schreiben	geschrieben	to write	haben						
spielen	gespielt	to play	haben						
lernen	gelernt	to learn	haben						
zeigen	gezeigt	to show	haben						
kochen	gekocht	to cook	haben						
beginnen	begonnen	to begin	haben						
stehen	gestanden	to stand	haben						
liegen	gelegen	to lie, to be located	haben						
glauben	geglaubt	to believe, to think	haben						
nennen	genannt	to call, to name	haben						
kennen	gekannt	to know	haben						
stellen	gestellt	to put (in a standing position)	haben						
bekommen	bekommen	to receive	haben						
bestellen	bestellt	to order (e.g. in a restaurant)	haben						
erzählen	erzählt	to tell	haben						
versuchen	versucht	to try, to attempt	haben						
erklären	erklärt	to explain	haben						
sitzen	gesessen	to sit	haben						
gehören	gehört	to belong to	haben						
warten	gewartet	to wait	haben						
erwarten	erwartet	to expect	haben						
verlieren	verloren	to lose	haben						
legen	gelegt	to put something (in a lying position)	haben						
schließen	geschlossen	to close, to lock	haben						
öffnen	geöffnet	to open	haben						
studieren	studiert	to study	haben						
fehlen	gefehlt	to miss, to lack	haben						
vergleichen	verglichen	to compare	haben						
singen	gesungen	to sing	haben						
tanzen	getanzt	to dance	haben						
bezahlen	bezahlt	to pay	haben						
verdienen	verdient	to earn, to deserve	haben						
reden	geredet	to talk, to speak	haben						
brauchen	gebraucht	to need	haben						
passieren	passiert	to happen	haben/sein						
kosten	gekostet	to cost	haben						
senden	gesendet	to send, to post	haben						
heiraten	geheiratet	to marry	haben						
sterben	gestorben	to die	sein						
feiern	gefeiert	to celebrate	haben						
lieben	geliebt	to live	haben						
wiederholen	wiederholt	to repeat	haben						
teilen	geteilt	to share	haben						
wissen	gewusst	to know	haben						
fahren	gefahren	to go with a mechanical transport	sein						
essen	gegessen	to eat	haben						
geben	gegeben	to give	haben						
sehen	gesehen	to see	haben						
sprechen	gesprochen	to speak	haben						
nehmen	genommen	to take	haben						
lesen	gelesen	to read	haben						
vergessen	vergessen	to forget	haben						
waschen	gewaschen	to wash	haben						
laufen	gelaufen	to run, to walk	sein						
tragen	getragen	to wear, carry	haben						
anfangen	angefangen	to start, begin (separable verb)	haben						
aussehen	ausgesehen	to look, appear (e.g to look good)	haben						
anrufen	angerufen	to call (e.g. by telephone)	haben						
aufstehen	aufgestanden	to get up (e.g. out of bed)	sein						
einladen	eingeladen	to invite	haben						
duschen	geduscht	to shower	haben						
freuen	gefreut	to look forward	haben						
treffen	getroffen	to meet	haben						
vorstellen	vorgestellt	to introduce	haben						
waschen	gewaschen	to wash	haben						
abfliegen	abgeflogen	to depart (by air)	sein						
anziehen	angezogen	to get dressed	sein						
aufhören	aufgehört	to finish	haben						
ausfüllen	ausgefüllt	to fill in (e.g. a form)	haben						
ausmachen	ausgemacht	turn off	haben						
aussteigen	ausgestiegen	to quit, to get off (e.g. a bus)	sein						
ausziehen	ausgezogen	to move (house), to set forth, to depart	sein						
baden	gebadet	to swim, to have a bath	haben						
benutzen	benutzt	to use, utilise, employ	haben						
besichtigen	besichtigt	look around, inspect	haben						
buchstabieren	buchstabiert	to spell	haben						
dauern	gedauert	to take time	haben						
danken	gedankt	to thank	haben						
einkaufen	eingekauft	to shop, to buy (many things e.g groceries)	haben						
einsteigen	eingestiegen	to get on/in (e.g. a bus, a car)	sein						
enden	geendet	to end	sein						
erlauben	erlaubt	to allow/ to permit	haben						
empfehlen	empfohlen	to recommend	haben						
entschuldigen	entschuldigt	to excuse	haben						
fernsehen	ferngesehen	to watch tv	haben						
gewinnen	gewonnen	to win, to gain	haben						
grillen	gegrillt	to grill, to bbq	haben						
halten	gehalten	to stop, to hold	haben						
helfen	geholfen	to help	haben						
kennenlernen	kennengelernt	to get to know (e.g. a person)	haben						
kochen	gekocht	to cook	haben						
kriegen	gekriegt	to get 	haben						
lachen	gelacht	to laugh	haben						
mitbringen	mitgebracht	to bring with	haben						
mitkommen	mitgekommen	to come with	sein						
mitmachen	mitgemacht	to take part in, to join in, to follow	haben						
mitnehmen	mitgenommen	to take with	haben						
rauchen	geraucht	to smoke	haben						
regnen	geregnet 	to rain	haben/sein						
reparieren	repariert	to repair	haben						
mieten	gemietet	to rent, to hire (from another)	haben						
scheinen	geschienen	to shine	haben						
schlafen	geschlafen	to sleep	haben						
schreiben	geschrieben	to write	haben						
schwimmen	geschwommen	to sleep	sein						
tun	getan	to do (synonym for machen)	haben						
übernachten	übernachtet	to stay overnight (e.g. in a hotel)	haben						
überweisen	überwiesen	to transfer	haben						
verbieten	verboten	to forbid	haben						
unterschreiben	unterschrieben	to sign (e.g. a document)	haben						
verkaufen	verkauft	to sell	haben						
vermieten	vermietet	to rent (to another)	haben						
wandern	gewandert	to hike, to wander	sein						
absagen	abgesagt	to cancel (e.g. an appointment)	haben						
anschließen	angeschlossen	plug in	haben						
einschalten	eingeschaltet	turn on	haben						
einfügen	eingefügt	to fit, to insert	haben						
weiterleiten	weitergeleitet	to pass on, to forward	haben						
zumachen	zugemacht	to close, to shut	haben						
