Inf	Partizip_II	Definition	Perfekt Hilfsverb	Prä 1st Sin	Prä 2nd Sin	Prä 3rd Sin	Prä 1st Plu	Prä 2nd Plu	Prä 3rd Plu
umsteigen	umsteigen	to change (e.g. trains)	sein						
abholen	abgeholt	to collect, pickup object or person	haben						
achten	geachtet	to respect, look after, keep an eye on	haben						
abfahren	abgefahren	to depart	sein		a→ä -st	a→ä -t			
ankommen	angekommen	to arrive	haben/sein						
anprobieren	anprobiert	to try on (e.g. clothes)	haben						
ausgeben	ausgegeben	to give out, to spend or invest	haben						
betragen	betragen	to be, to amount to	haben						
bestätigen	bestätigt	to confirm	haben						
frieren	gefroren	to freeze	haben/sein						
gefallen	gefallen	to please	haben		a→ä -st	a→ä -t			
hassen	gehasst	to hate	haben						
lassen	gelassen	to leave (person or thing somewhere)	haben		a→ä -t	a→ä -t			
passen	gepasst	to fit	haben						
packen	gepackt	to pack	haben						
regnen	geregnet	to rain	haben/sein						
scheinen	geschienen	to shine	haben						
schneien	geschneit	to snow	haben/sein						
tragen	getragen	to carry	haben		a→ä -st	a→ä -t			
umtauschen	umgetauscht	to exchange	haben						
zurückgeben	zurückgegeben	to return (an object), to give back	haben						
zuhören	zugehört	to listen	haben						
schnarchen	geschnarcht	to snore	haben						
